date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:23:43	474/474	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Nov%202014%2001:23:50%20GMT	http://www.millionairemoneymachine.co/robots.txt		(from )
20:23:43	11602/11602	---MC-	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2001:23:51%20GMT	http://www.millionairemoneymachine.co/	C:/Users/Sregge/Desktop/Millionaire%20Money%20Machine/Millionaire%20Money%20Machine/www.millionairemoneymachine.co/index.html	(from )
20:23:43	1100/1100	---M--	200	added ('OK')	image/png	etag:%225820039-44c-5046d030179ab%22	http://www.millionairemoneymachine.co/img/board-count.png	C:/Users/Sregge/Desktop/Millionaire%20Money%20Machine/Millionaire%20Money%20Machine/www.millionairemoneymachine.co/img/board-count.png	(from http://www.millionairemoneymachine.co/)
20:23:44	420/420	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2011%20Nov%202014%2001:23:49%20GMT	http://j.maxmind.com/app/geoip.js	C:/Users/Sregge/Desktop/Millionaire%20Money%20Machine/Millionaire%20Money%20Machine/j.maxmind.com/app/geoip.js	(from http://www.millionairemoneymachine.co/)
20:23:45	95786/95786	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2024%20Oct%202014%2000:16:08%20GMT	http://code.jquery.com/jquery-latest.min.js	C:/Users/Sregge/Desktop/Millionaire%20Money%20Machine/Millionaire%20Money%20Machine/code.jquery.com/jquery-latest.min.js	(from http://www.millionairemoneymachine.co/)
20:23:50	70710/70710	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2011%20Nov%202014%2000:54:30%20GMT	http://jwpsrv.com/library/PNP7RmoFEeK5GyIACp8kUw.js	C:/Users/Sregge/Desktop/Millionaire%20Money%20Machine/Millionaire%20Money%20Machine/jwpsrv.com/library/PNP7RmoFEeK5GyIACp8kUw.js	(from http://www.millionairemoneymachine.co/)
20:23:52	10013/10013	---MC-	200	added ('OK')	text/javascript	date:Tue,%2011%20Nov%202014%2001:23:58%20GMT	http://www.millionairemoneymachine.co/expop/ExPop-2-js.php	C:/Users/Sregge/Desktop/Millionaire%20Money%20Machine/Millionaire%20Money%20Machine/www.millionairemoneymachine.co/expop/ExPop-2-js.php	(from http://www.millionairemoneymachine.co/)
20:23:52	1507/1507	---M--	200	added ('OK')	text/css	etag:%225820029-5e3-5046d02db05eb%22	http://www.millionairemoneymachine.co/expop/ExPop-2.css	C:/Users/Sregge/Desktop/Millionaire%20Money%20Machine/Millionaire%20Money%20Machine/www.millionairemoneymachine.co/expop/ExPop-2.css	(from http://www.millionairemoneymachine.co/)
20:23:57	94938/94938	---M--	200	added ('OK')	image/jpeg	etag:%22582002d-172da-5046d02ebe63b%22	http://www.millionairemoneymachine.co/images/bg.jpg	C:/Users/Sregge/Desktop/Millionaire%20Money%20Machine/Millionaire%20Money%20Machine/www.millionairemoneymachine.co/images/bg.jpg	(from http://www.millionairemoneymachine.co/)
20:24:01	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2009%20Jul%202013%2011:31:25%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/Users/Sregge/Desktop/Millionaire%20Money%20Machine/Millionaire%20Money%20Machine/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from http://www.millionairemoneymachine.co/)
20:24:01	96362/96362	---MC-	200	added ('OK')	text/javascript	date:Fri,%2002%20Mar%202012%2021:05:36%20GMT	http://ajax.googleapis.com/ajax/libs/mootools/1.4.5/mootools-yui-compressed.js	C:/Users/Sregge/Desktop/Millionaire%20Money%20Machine/Millionaire%20Money%20Machine/ajax.googleapis.com/ajax/libs/mootools/1.4.5/mootools-yui-compressed.js	(from http://www.millionairemoneymachine.co/)
20:24:03	8438/8438	---M--	200	added ('OK')	image/png	etag:%22582012c-20f6-5054ae3e2e191%22	http://www.millionairemoneymachine.co/images/gsf.png	C:/Users/Sregge/Desktop/Millionaire%20Money%20Machine/Millionaire%20Money%20Machine/www.millionairemoneymachine.co/images/gsf.png	(from http://www.millionairemoneymachine.co/)
20:24:04	20584/20584	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2011%20Nov%202014%2001:24:09%20GMT	http://app.getresponse.com/view_webform.js?wid=8191902&mg_param1=1&u=kRe8	C:/Users/Sregge/Desktop/Millionaire%20Money%20Machine/Millionaire%20Money%20Machine/app.getresponse.com/view_webform2947.js	(from http://www.millionairemoneymachine.co/)
20:24:05	38117/38117	---M--	200	added ('OK')	text/html	etag:%225820023-94e5-5046d02cc67bb%22	http://www.millionairemoneymachine.co/terms.html	C:/Users/Sregge/Desktop/Millionaire%20Money%20Machine/Millionaire%20Money%20Machine/www.millionairemoneymachine.co/terms.html	(from http://www.millionairemoneymachine.co/)
20:24:06	491/491	---M--	403	error ('Forbidden')	text/html	date:Tue,%2011%20Nov%202014%2001:24:11%20GMT	http://www.visitorbarscript.com/exit.js	C:/Users/Sregge/Desktop/Millionaire%20Money%20Machine/Millionaire%20Money%20Machine/www.visitorbarscript.com/exit.f.delayed	(from http://www.millionairemoneymachine.co/)
20:24:14	104032/104032	---M--	200	added ('OK')	application/x-shockwave-flash	etag:%2258200c5-19660-504d38679bccc%22	http://www.millionairemoneymachine.co/player/player.swf	C:/Users/Sregge/Desktop/Millionaire%20Money%20Machine/Millionaire%20Money%20Machine/www.millionairemoneymachine.co/player/player.swf	(from http://www.millionairemoneymachine.co/)
20:24:17	97982/97982	---M--	200	added ('OK')	image/png	etag:%22582006e-17ebe-50482db0644b5%22	http://www.millionairemoneymachine.co/images/logoarrow.png	C:/Users/Sregge/Desktop/Millionaire%20Money%20Machine/Millionaire%20Money%20Machine/www.millionairemoneymachine.co/images/logoarrow.png	(from http://www.millionairemoneymachine.co/)
20:24:23	151394/151394	---M--	200	added ('OK')	image/png	etag:%2258200c7-24f62-504d3ab90a033%22	http://www.millionairemoneymachine.co/images/exmmm.png	C:/Users/Sregge/Desktop/Millionaire%20Money%20Machine/Millionaire%20Money%20Machine/www.millionairemoneymachine.co/images/exmmm.png	(from http://www.millionairemoneymachine.co/)
20:24:25	268532/268532	---M--	200	added ('OK')	image/png	etag:%225820035-418f4-50482b93e8865%22	http://www.millionairemoneymachine.co/images/vid800x.png	C:/Users/Sregge/Desktop/Millionaire%20Money%20Machine/Millionaire%20Money%20Machine/www.millionairemoneymachine.co/images/vid800x.png	(from http://www.millionairemoneymachine.co/)
20:24:25	466/466	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Nov%202014%2001:24:33%20GMT	http://www.millionairemoneymachine.co/no	C:/Users/Sregge/Desktop/Millionaire%20Money%20Machine/Millionaire%20Money%20Machine/www.millionairemoneymachine.co/no.11.delayed	(from http://app.getresponse.com/view_webform.js?wid=8191902&mg_param1=1&u=kRe8)
